peId,peMonth,peDay,pePday,peType,peDesc,peReading,peDisplay,peIndex,peFlag
1230,7,15,999,Vespers,"",3Kg_8022_8023|3Kg_8027_8030,"3[1] Kings 8:22-23, 27-30",4,0
1231,7,15,999,Vespers,"",Isa_61010_62005,Isaiah 61:10-62:5,5,0
1232,7,15,999,Vespers,"",Isa_60001_60016,Isaiah 60:1-16,6,0
1233,7,15,999,Matins Gospel,"",John_10009_10016,John 10:9-16,29,0
1234,7,15,999,Epistle,Saint,Gal_1011_1019,Galatians 1:11-19,36,0
1235,7,15,999,Gospel,Saint,John_10001_10009,John 10:1-9,37,0
1236,7,19,999,Vespers,"",Wis_3001_3009,Wisdom of Solomon 3:1-9,4,0
1237,7,19,999,Vespers,"",Wis_5015_6003,Wisdom of Solomon 5:15-6:3,5,0
1238,7,19,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1239,7,19,999,Matins Gospel,"",Matt_11027_11030,Matthew 11:27-30,29,0
1240,7,19,999,Epistle,Saint,Gal_5022_6002,Galatians 5:22-6:2,36,0
1241,7,19,999,Gospel,Saint,Luke_6017_6023,Luke 6:17-23,37,0
1242,7,20,999,Vespers,"",Comp_12001_12005,Composite 12 - 3 [1] Kings 17:1-23,4,0
1243,7,20,999,Vespers,"",Comp_13001_13017,"Composite 13 - 3 [1] Kings 18, 19",5,0
1244,7,20,999,Vespers,"",Comp_14001_14005,"Composite 14 - 3 [1] Kings 19:19, 20, 21; 4 [2] Kings 2:1,6-14",6,0
1245,7,20,999,Matins Gospel,"",Luke_4022_4030,Luke 4:22-30,29,0
1246,7,20,999,Epistle,Prophet,James_5010_5020,James 5:10-20,36,0
1247,7,20,999,Gospel,Prophet,Luke_4022_4030,Luke 4:22-30,37,0
1248,7,24,999,Vespers,"",Isa_43009_43014,Isaiah 43:9-14,4,0
1249,7,24,999,Vespers,"",Wis_3001_3009,Wisdom of Solomon 3:1-9,5,0
1250,7,24,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1251,7,24,999,Matins Gospel,"",Luke_21012_21019,Luke 21:12-19,29,0
1252,7,24,999,Epistle,Saints,Rom_8028_8039,Romans 8:28-39,36,0
1253,7,24,999,Gospel,Saints,John_15017_16002,John 15:17-16:2,37,0
1254,7,26,999,Vespers,"",Wis_5015_6003,Wisdom of Solomon 5:15-6:3,4,0
1255,7,26,999,Vespers,"",1John_4001_4006,1 John 4:1-6,5,0
1256,7,26,999,Vespers,"",1John_4020_5005,1 John 4:20-5:5,6,0
1257,7,26,999,Matins Gospel,"",John_10009_10016,John 10:9-16,29,0
1258,7,26,999,Epistle,Saint,Phil_3007_3014,Philippians 3:7-14,36,0
1259,7,26,999,Gospel,Saint,Mark_10029_10031|Mark_10042_10045,"Mark 10:29-31, 42-45",37,0
1260,7,27,999,Epistle,St. Panteleimon,2Tim_2001_2010,2 Timothy 2:1-10,36,0
1261,7,27,999,Gospel,St. Panteleimon,John_15017_16002,John 15:17-16:2,37,0
1262,8,1,999,Epistle,Cross,1Cor_1018_1024,1 Corinthians 1:18-24,36,0
1263,8,1,999,Gospel,Cross,John_19006_19011|John_19013_19020|John_19025_19028|John_19030_19035,"John 19:6-11, 13-20, 25-28, 30-35",50,0
1264,8,1,999,Epistle,Martyrs,Heb_11033_12002,Hebrews 11:33-12:2,51,0
1265,8,1,999,Gospel,Martyrs,Matt_10032_10036|Matt_11001_11001,"Matthew 10:32-36; 11:1",52,0
1266,8,1,999,Epistle,At the Blessing of Waters,Heb_2011_2018,Hebrews 2:11-18,57,0
1267,8,1,999,Gospel,At the Blessing of Waters,John_5001_5004,John 5:1-4,58,0
1268,8,6,999,Vespers,"",Exod_24012_24018,Exodus 24:12-18,4,0
1269,8,6,999,Vespers,"",Comp_15001_15004,"Composite 15 - Exodus 33:11-23; 34:4-6, 8",5,0
1270,8,6,999,Vespers,"",Comp_23001_23004,"Composite 23 - 3 [1] Kings 19:3-9, 11-13, 15, 16",6,0
1271,8,6,999,Matins Gospel,"",Luke_9028_9036,Luke 9:28-36,29,0
1272,8,6,999,Epistle,Transfiguration,2Peter_1010_1019,2 Peter 1:10-19,89,0
1273,8,6,999,Gospel,Transfiguration,Matt_17001_17009,Matthew 17:1-9,99,0
1274,8,9,999,Vespers,"",Wis_3001_3009,Wisdom of Solomon 3:1-9,4,0
1275,8,9,999,Vespers,"",Wis_5015_6003,Wisdom of Solomon 5:15-6:3,5,0
1276,8,9,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1277,8,9,999,Matins Gospel,"",Matt_11027_11030,Matthew 11:27-30,29,0
1278,8,9,999,Epistle,Saint,Gal_5022_6002,Galatians 5:22-6:2,36,0
1279,8,9,999,Gospel,Saint,Luke_6017_6023,Luke 6:17-23,37,0
1280,8,13,999,Vespers,"",Comp_2001_2004,"Composite 2 - Proverbs 10, 3, 8",4,0
1281,8,13,999,Vespers,"",Prov_10031_11012,Proverbs 10:31-11:12,5,0
1282,8,13,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1283,8,13,999,Matins Gospel,"",John_10009_10016,John 10:9-16,29,0
1284,8,13,999,Epistle,St. Tikhon,Heb_7026_8002,Hebrews 7:26-8:2,36,0
1285,8,13,999,Gospel,St. Tikhon,Matt_5014_5019,Matthew 5:14-19,37,0
1286,8,15,999,Vespers,"",Gen_28010_28017,Genesis 28:10-17,4,0
1287,8,15,999,Vespers,"",Ezek_43027_44004,Ezekiel 43:27-44:4,5,0
1288,8,15,999,Vespers,"",Prov_9001_9011,Proverbs 9:1-11,6,0
1289,8,15,999,Matins Gospel,"",Luke_1039_1049|Luke_1056_1056,"Luke 1:39-49, 56",29,0
1290,8,15,999,Epistle,Theotokos,Phil_2005_2011,Philippians 2:5-11,89,0
1291,8,15,999,Gospel,Theotokos,Luke_10038_10042|Luke_11027_11028,"Luke 10:38-42; 11:27-28",99,0
1292,8,16,999,Epistle,Image,Col_1012_1018,Colossians 1:12-18,36,0
1293,8,16,999,Gospel,Image,Luke_9051_9056|Luke_10022_10024,"Luke 9:51-56; 10:22-24",37,0
1294,8,23,999,Epistle,Theotokos,Phil_2005_2011,Philippians 2:5-11,36,0
1295,8,23,999,Gospel,Theotokos,Luke_10038_10042|Luke_11027_11028,"Luke 10:38-42; 11:27-28",37,0
1296,8,28,999,Vespers,"",Wis_3001_3009,Wisdom of Solomon 3:1-9,4,0
1297,8,28,999,Vespers,"",Wis_5015_6003,Wisdom of Solomon 5:15-6:3,5,0
1298,8,28,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1299,8,28,999,Matins Gospel,"",Matt_11027_11030,Matthew 11:27-30,29,0
1300,8,28,999,Epistle,Saint,Gal_5022_6002,Galatians 5:22-6:2,36,0
1301,8,28,999,Gospel,Saint,Luke_6017_6023,Luke 6:17-23,37,0
1302,8,29,999,Vespers,"",Comp_8001_8003,"Composite 8 - Isaiah 40, 41, 45, 48, 54",4,0
1303,8,29,999,Vespers,"",Comp_9001_9003,"Composite 9 - Malachi 3, 4",5,0
1304,8,29,999,Vespers,"",Comp_3001_3003,"Composite 3 - Wisdom of Solomon 4, 5",6,0
1305,8,29,999,Matins Gospel,"",Matt_14001_14013,Matthew 14:1-13,29,0
1306,8,29,999,Epistle,Forerunner,Acts_13025_13033,Acts 13:25-33,36,0
1307,8,29,999,Gospel,Forerunner,Mark_6014_6030,Mark 6:14-30,37,0
1308,9,1,999,Vespers,"",Isa_61001_61009,Isaiah 61:1-9,4,0
1309,9,1,999,Vespers,"",Comp_24001_24002,Composite 24 - Leviticus 26,5,0
1310,9,1,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1311,9,1,999,Epistle,New Year,1Tim_2001_2007,1 Timothy 2:1-7,36,0
